Track,ID,DateTime,Side,Entry,SL,TP1,TP2,RiskPips,ExitReason,ExitPrice,ExitTime,PnlR,PnlUsd,Confluence
SCALP,1,"2026-08-16T23:00:00.000Z",SELL,4438.10,4441.50,4433.60,4433.60,34,TP_EQUILIBRIUM,4433.60,"2026-08-16T23:20:00.000Z",1.20,6.00,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SUPREME,1,"2026-08-18T10:50:00.000Z",SELL,4453.40,4456.70,4448.45,4441.85,33,TP1_PARTIAL_BE,4448.45,"2026-08-18T11:10:00.000Z",0.75,7.50,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,2,"2026-08-18T11:10:00.000Z",BUY,4450.20,4447.20,4454.70,4460.70,30,SL_HIT,4447.20,"2026-08-18T11:20:00.000Z",-1.00,-10.00,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,3,"2026-08-24T22:10:00.000Z",SELL,4715.60,4717.70,4712.45,4708.25,21,SL_HIT,4717.70,"2026-08-24T22:35:00.000Z",-1.00,-10.00,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,4,"2026-08-27T00:10:00.000Z",SELL,4672.00,4674.20,4668.70,4664.30,22,TP1_PARTIAL_BE,4668.70,"2026-08-27T00:15:00.000Z",0.75,7.50,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,5,"2026-08-27T11:55:00.000Z",SELL,4652.30,4655.00,4648.25,4642.85,27,TP1_PARTIAL_BE,4648.25,"2026-08-27T12:05:00.000Z",0.75,7.50,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SCALP,2,"2026-08-28T05:10:00.000Z",BUY,4632.30,4628.80,4636.20,4636.20,35,TP_EQUILIBRIUM,4636.20,"2026-08-28T05:20:00.000Z",1.20,6.00,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SUPREME,6,"2026-08-28T13:40:00.000Z",SELL,4657.00,4661.20,4650.70,4642.30,42,SL_HIT,4661.20,"2026-08-28T13:45:00.000Z",-1.00,-10.00,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,7,"2026-08-28T13:40:00.000Z",SELL,4657.00,4661.20,4650.70,4642.30,42,SL_HIT,4661.20,"2026-08-28T13:45:00.000Z",-1.00,-10.00,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,8,"2026-08-31T13:00:00.000Z",BUY,4488.50,4484.10,4495.10,4503.90,44,TP1_PARTIAL_BE,4495.10,"2026-08-31T13:05:00.000Z",0.75,7.50,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,9,"2026-09-03T20:25:00.000Z",BUY,4519.00,4515.70,4523.95,4530.55,33,TP1_PARTIAL_BE,4523.95,"2026-09-03T22:00:00.000Z",0.75,7.50,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SCALP,3,"2026-09-04T00:05:00.000Z",SELL,4526.70,4529.90,4523.20,4523.20,32,TP_EQUILIBRIUM,4523.20,"2026-09-04T00:15:00.000Z",1.20,6.00,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SCALP,4,"2026-09-04T00:45:00.000Z",SELL,4527.70,4531.10,4524.00,4524.00,34,SL_HIT,4531.10,"2026-09-04T00:55:00.000Z",-1.00,-5.00,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SCALP,5,"2026-09-04T07:00:00.000Z",BUY,4512.90,4510.40,4517.75,4517.75,25,TP_EQUILIBRIUM,4517.75,"2026-09-04T07:10:00.000Z",1.20,6.00,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SUPREME,10,"2026-09-04T09:25:00.000Z",BUY,4512.80,4509.30,4518.05,4525.05,35,TP1_PARTIAL_BE,4518.05,"2026-09-04T10:10:00.000Z",0.75,7.50,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,12,"2026-09-04T19:55:00.000Z",SELL,4482.00,4484.10,4478.85,4474.65,21,TP1_PARTIAL_BE,4478.85,"2026-09-04T20:05:00.000Z",0.75,7.50,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,11,"2026-09-08T06:20:00.000Z",BUY,4448.50,4444.50,4454.50,4462.50,40,SL_HIT,4444.50,"2026-09-08T06:25:00.000Z",-1.00,-10.00,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,13,"2026-09-08T11:40:00.000Z",SELL,4447.80,4452.00,4441.50,4433.10,42,TP1_PARTIAL_BE,4441.50,"2026-09-08T12:10:00.000Z",0.75,7.50,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,14,"2026-09-08T16:35:00.000Z",SELL,4439.30,4442.20,4434.95,4429.15,29,SL_HIT,4442.20,"2026-09-08T16:50:00.000Z",-1.00,-10.00,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,15,"2026-09-09T19:05:00.000Z",BUY,4444.80,4441.80,4449.30,4455.30,30,TP1_PARTIAL_BE,4449.30,"2026-09-09T19:20:00.000Z",0.75,7.50,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
