Track,ID,DateTime,Side,Entry,SL,TP1,TP2,RiskPips,ExitReason,ExitPrice,ExitTime,PnlR,PnlUsd,Confluence
SUPREME,1,"2026-07-07T17:30:00.000Z",SELL,4157.60,4161.20,4152.20,4145.00,36,TP2_FULL_TARGET,4145.00,"2026-07-07T18:45:00.000Z",2.50,25.00,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SCALP,1,"2026-07-09T00:55:00.000Z",BUY,4082.80,4079.90,4087.30,4087.30,29,SL_HIT,4079.90,"2026-07-09T01:00:00.000Z",-1.00,-5.00,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SUPREME,2,"2026-07-09T11:15:00.000Z",SELL,4114.20,4117.50,4109.25,4102.65,33,TP1_PARTIAL_BE_STOP,4114.10,"2026-07-09T11:20:00.000Z",0.77,7.65,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SCALP,2,"2026-07-10T07:55:00.000Z",BUY,4117.90,4115.80,4123.75,4123.75,21,SL_HIT,4115.80,"2026-07-10T08:00:00.000Z",-1.00,-5.00,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SUPREME,3,"2026-07-10T18:45:00.000Z",BUY,4108.80,4106.10,4112.85,4118.25,27,TP2_FULL_TARGET,4118.25,"2026-07-10T20:00:00.000Z",2.50,25.00,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SUPREME,4,"2026-07-10T20:05:00.000Z",SELL,4119.80,4122.40,4115.90,4110.70,26,SL_HIT,4122.40,"2026-07-10T20:50:00.000Z",-1.00,-10.00,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SUPREME,5,"2026-07-13T10:55:00.000Z",BUY,4068.40,4065.70,4072.45,4077.85,27,TP1_PARTIAL_BE_STOP,4068.50,"2026-07-13T11:20:00.000Z",0.77,7.69,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SCALP,3,"2026-07-14T05:15:00.000Z",SELL,4027.80,4031.10,4022.90,4022.90,33,SL_HIT,4031.10,"2026-07-14T05:30:00.000Z",-1.00,-5.00,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SCALP,4,"2026-07-14T23:20:00.000Z",BUY,4056.00,4052.80,4059.05,4059.05,32,TP_EQUILIBRIUM,4059.05,"2026-07-14T23:25:00.000Z",1.20,6.00,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SCALP,5,"2026-07-15T00:35:00.000Z",SELL,4060.50,4063.80,4057.65,4057.65,33,SL_HIT,4063.80,"2026-07-15T00:50:00.000Z",-1.00,-5.00,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SCALP,6,"2026-07-16T00:10:00.000Z",BUY,4062.30,4059.20,4066.15,4066.15,31,TP_EQUILIBRIUM,4066.15,"2026-07-16T00:30:00.000Z",1.20,6.00,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
