Track,ID,DateTime,Side,Entry,SL,TP1,TP2,RiskPips,ExitReason,ExitPrice,ExitTime,NormalizedNetR,PnlUsd,Confluence
SUPREME,1,"2026-07-09T11:20:00.000Z",SELL,4114.00,4117.50,4108.75,4101.75,35,TP1_PARTIAL_BE,4108.75,"2026-07-09T11:25:00.000Z",0.74,7.43,"4H_CLOSED_ANCHOR+1H_PRIOR_ATR"
SCALP,1,"2026-07-10T00:45:00.000Z",BUY,4132.30,4128.80,4133.40,4133.40,35,TP_EQUILIBRIUM,4133.40,"2026-07-10T00:50:00.000Z",0.59,5.93,"4H_CLOSED_ANCHOR"
SCALP,2,"2026-07-10T08:00:00.000Z",BUY,4117.90,4115.80,4123.75,4123.75,21,SL_HIT,4115.80,"2026-07-10T08:05:00.000Z",-0.51,-5.07,"4H_CLOSED_ANCHOR"
SCALP,3,"2026-07-14T05:20:00.000Z",SELL,4027.60,4031.10,4022.90,4022.90,35,SL_HIT,4031.10,"2026-07-14T05:30:00.000Z",-0.51,-5.07,"4H_CLOSED_ANCHOR"
SCALP,4,"2026-07-15T00:40:00.000Z",SELL,4060.70,4063.80,4057.65,4057.65,31,SL_HIT,4063.80,"2026-07-15T00:50:00.000Z",-0.51,-5.07,"4H_CLOSED_ANCHOR"
SUPREME,2,"2026-07-17T11:35:00.000Z",SELL,3996.50,4001.00,3989.75,3980.75,45,SL_HIT,4001.00,"2026-07-17T11:50:00.000Z",-1.01,-10.07,"4H_CLOSED_ANCHOR+1H_PRIOR_ATR"
SCALP,5,"2026-07-24T00:50:00.000Z",SELL,4051.50,4055.00,4048.50,4048.50,35,TP_EQUILIBRIUM,4048.50,"2026-07-24T01:00:00.000Z",0.59,5.93,"4H_CLOSED_ANCHOR"
SUPREME,3,"2026-08-03T00:45:00.000Z",SELL,4113.70,4117.40,4108.15,4100.75,37,TP1_PARTIAL_BE,4108.15,"2026-08-03T01:00:00.000Z",0.74,7.43,"4H_CLOSED_ANCHOR+1H_PRIOR_ATR"
SUPREME,4,"2026-08-13T11:50:00.000Z",BUY,4441.50,4437.80,4447.05,4454.45,37,TP1_PARTIAL_BE,4447.05,"2026-08-13T12:05:00.000Z",0.74,7.43,"4H_CLOSED_ANCHOR+1H_PRIOR_ATR"
SUPREME,5,"2026-08-25T12:10:00.000Z",BUY,4693.00,4690.70,4696.45,4701.05,23,SL_HIT,4690.70,"2026-08-25T12:15:00.000Z",-1.01,-10.07,"4H_CLOSED_ANCHOR+1H_PRIOR_ATR"
SUPREME,6,"2026-08-27T12:00:00.000Z",SELL,4651.90,4655.00,4647.25,4641.05,31,TP1_PARTIAL_BE,4647.25,"2026-08-27T12:10:00.000Z",0.74,7.43,"4H_CLOSED_ANCHOR+1H_PRIOR_ATR"
SUPREME,7,"2026-09-01T00:15:00.000Z",SELL,4504.00,4507.80,4498.30,4490.70,38,SL_HIT,4507.80,"2026-09-01T00:20:00.000Z",-1.01,-10.07,"4H_CLOSED_ANCHOR+1H_PRIOR_ATR"
SUPREME,8,"2026-09-03T20:30:00.000Z",BUY,4519.30,4515.70,4524.70,4531.90,36,TP1_PARTIAL_BE,4524.70,"2026-09-03T22:10:00.000Z",0.74,7.43,"4H_CLOSED_ANCHOR+1H_PRIOR_ATR"
SCALP,6,"2026-09-04T01:40:00.000Z",BUY,4520.10,4517.30,4524.20,4524.20,28,SL_HIT,4517.30,"2026-09-04T01:45:00.000Z",-0.51,-5.07,"4H_CLOSED_ANCHOR"
SUPREME,9,"2026-09-04T09:30:00.000Z",BUY,4513.10,4509.30,4518.80,4526.40,38,TP1_PARTIAL_BE,4518.80,"2026-09-04T10:10:00.000Z",0.74,7.43,"4H_CLOSED_ANCHOR+1H_PRIOR_ATR"
SUPREME,10,"2026-09-08T04:10:00.000Z",SELL,4486.00,4489.70,4480.45,4473.05,37,TP2_FULL_TARGET,4473.05,"2026-09-08T05:10:00.000Z",2.49,24.93,"4H_CLOSED_ANCHOR+1H_PRIOR_ATR"
SUPREME,11,"2026-09-09T19:10:00.000Z",BUY,4445.10,4441.80,4450.05,4456.65,33,TP1_PARTIAL_BE,4450.05,"2026-09-09T19:20:00.000Z",0.74,7.43,"4H_CLOSED_ANCHOR+1H_PRIOR_ATR"
